date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-09-10,-0.015312181883203602,0.18539713,11,0.28268427
2020-09-11,0.003935508432191481,0.21903078,7,0.18539713
2020-09-14,0.014341639525621286,0.10241009,8,0.21903078
2020-09-15,0.001319991264177256,0.214971,9,0.10241009
2020-09-16,-0.001694648951294897,0.09607041,16,0.214971
2020-09-17,-0.0033003228044397037,0.07616482,7,0.09607041
2020-09-18,-0.0015137685601068762,0.2945358,9,0.07616482
2020-09-21,-0.018473683705822697,0.1544038,6,0.2945358
2020-09-22,-0.002132230653125955,0.23506768,9,0.1544038
2020-09-23,-0.010295113478577478,0.21410413,5,0.23506768
2020-09-24,-0.005004994534351992,0.18475097,3,0.21410413
2020-09-25,0.016076351279713297,0.24423902,7,0.18475097
2020-09-28,0.009027491601316884,0.20567629,15,0.24423902
2020-09-29,-0.0012506576604053299,0.46455115,7,0.20567629
2020-10-01,-0.003412881858654404,0.30722818,6,0.46455115
2020-10-02,-0.009132709378571247,0.31033957,8,0.30722818
2020-10-05,0.02054554202187142,0.52802515,3,0.31033957
2020-10-06,-0.013264368916824809,0.56109834,11,0.52802515
2020-10-07,0.018876907876939963,0.061524067,9,0.56109834
2020-10-08,0.004865711827515273,0.35428965,4,0.061524067
2020-10-09,0.009032532273635319,0.35225794,16,0.35428965
2020-10-12,0.006829108124990935,0.43358317,5,0.35225794
2020-10-13,-0.007607849308948422,0.5124273,8,0.43358317
2020-10-14,-0.005818638049179592,0.41815597,10,0.5124273
2020-10-15,-0.007246472486801769,0.5559151,9,0.41815597
2020-10-16,0.009919379189214261,0.63480794,6,0.5559151
2020-10-19,-0.01584482105190621,0.6140264,5,0.63480794
2020-10-20,0.0013181786356104563,0.3270797,10,0.6140264
2020-10-21,-0.004983589520787923,0.64123166,10,0.3270797
2020-10-22,0.015119896305897607,0.42650306,6,0.64123166
2020-10-23,0.0037236917638567846,0.0789668,7,0.42650306
2020-10-26,-0.01112963197265926,0.77349544,2,0.0789668
2020-10-27,-0.006846630804654086,0.38967285,9,0.77349544
2020-10-28,-0.03173126773065971,0.17380027,7,0.38967285
2020-10-29,-0.008192542601479391,0.2275576,4,0.17380027
2020-10-30,-0.00029503378750339593,0.39158887,7,0.2275576
2020-11-02,0.01800107189586253,0.19908686,6,0.39158887
2020-11-03,0.014590844532283542,0.36490786,15,0.19908686
2020-11-04,0.04438095516892249,-0.118068084,9,0.36490786
2020-11-05,0.002006233444015404,-0.14907886,6,-0.118068084
2020-11-06,0.00036388213738014485,-0.13503462,6,-0.14907886
2020-11-09,0.009370371614858763,-0.22706218,5,-0.13503462
2020-11-10,0.0028844730273620556,0.45367187,4,-0.22706218
2020-11-11,-0.001258531548834374,0.1281421,7,0.45367187
2020-11-12,-0.0036891224532585865,0.20132765,8,0.1281421
2020-11-13,0.012644475643628805,0.10932279,8,0.20132765
2020-11-16,-0.0016945532721592826,0.31450525,5,0.10932279
2020-11-17,-0.006522119145772276,0.36358103,11,0.31450525
2020-11-18,-0.018615006539226875,0.06901558,10,0.36358103
2020-11-19,-0.000733068776418766,0.19960779,11,0.06901558
2020-11-20,-0.0022924257888240485,0.1410193,5,0.19960779
2020-11-23,-0.002573674459685149,0.102616474,9,0.1410193
2020-11-24,0.0029486055150176327,0.21065925,11,0.102616474
2020-11-25,-0.0036748830432620228,-0.45554465,7,0.21065925
2020-11-27,0.00922181791582366,0.095135845,10,-0.45554465
2020-12-01,0.008383430649234525,0.12551422,4,0.095135845
2020-12-02,0.0075005264077487865,0.5336406,4,0.12551422
2020-12-03,-0.0012555294879342815,-0.008086764,18,0.5336406
2020-12-04,0.010686715091400956,0.24748044,10,-0.008086764
2020-12-07,-0.0061310465120633095,0.20874399,3,0.24748044
2020-12-08,0.007599499463716297,0.14254558,5,0.20874399
2020-12-09,-0.003460523962918738,0.0071983575,10,0.14254558
2020-12-10,-0.0016917600653838516,0.49186835,6,0.0071983575
2020-12-11,-0.0039243566276311315,0.109373726,7,0.49186835
2020-12-14,-0.007521544480226461,0.5334627,5,0.109373726
2020-12-15,0.010826314469215781,0.15481679,19,0.5334627
2020-12-16,-0.0029454247941359535,0.117214814,10,0.15481679
2020-12-17,0.01074237032012837,0.50170034,10,0.117214814
2020-12-18,0.0007971478017989586,-0.02972193,8,0.50170034
2020-12-21,-0.010005731265787854,-0.054206435,8,-0.02972193
2020-12-22,-0.003051918435781009,0.20285693,7,-0.054206435
2020-12-23,0.0007204187674867413,0.03748222,9,0.20285693
2020-12-24,0.002878860218328727,0.17832229,7,0.03748222
2020-12-28,0.0025119746587909386,0.84920853,1,0.17832229
2020-12-29,0.004742737352068316,0.40201676,4,0.84920853
2020-12-30,-0.00017801717305065967,0.341139,5,0.40201676
